1024	1.16	1.33
1280	1.78	2.00
1536	2.63	3.27
1792	3.71	4.42
2048	5.09	6.53
2304	10.06	8.40
2560	12.85	13.36
2816	15.97	16.05
3072	23.36	23.28
3328	27.43	25.23
3584	27.88	27.61
3840	32.52	32.72
4096	39.03	33.23
4352	51.77	35.03
4608	58.96	43.80
4864	67.82	46.59
5120	73.37	51.62
